metric,value,method,dataset,category,source
iASW,0.4588915468073995,online_iNMF,D28,diagonal,rerun-0.2.1
iF1,0.4064149464516403,online_iNMF,D28,diagonal,rerun-0.2.1
cLISI,0.9471855775817472,online_iNMF,D28,diagonal,rerun-0.2.1
ASW_batch,0.7776730918239815,online_iNMF,D28,diagonal,rerun-0.2.1
GC,0.7577750483671594,online_iNMF,D28,diagonal,rerun-0.2.1
iLISI,0.5595398493619435,online_iNMF,D28,diagonal,rerun-0.2.1
ARI,0.6178095803969573,scJoint,D28,diagonal,rerun-0.2.1
NMI,0.6376721888023513,scJoint,D28,diagonal,rerun-0.2.1
ASW,0.5349135288505782,scJoint,D28,diagonal,rerun-0.2.1
iASW,0.5238006954225337,scJoint,D28,diagonal,rerun-0.2.1
iF1,0.5920516064005373,scJoint,D28,diagonal,rerun-0.2.1
cLISI,0.9904256885922976,scJoint,D28,diagonal,rerun-0.2.1
ASW_batch,0.7570815766462187,scJoint,D28,diagonal,rerun-0.2.1
GC,0.8700703994870589,scJoint,D28,diagonal,rerun-0.2.1
iLISI,0.5425897416950753,scJoint,D28,diagonal,rerun-0.2.1
ARI,0.1877031871156704,sciCAN,D28,diagonal,rerun-0.2.1
NMI,0.3688401121221336,sciCAN,D28,diagonal,rerun-0.2.1
ASW,0.5133007252541624,sciCAN,D28,diagonal,rerun-0.2.1
iASW,0.4778329867249481,sciCAN,D28,diagonal,rerun-0.2.1
iF1,0.3815792603423257,sciCAN,D28,diagonal,rerun-0.2.1
cLISI,0.9494591649861712,sciCAN,D28,diagonal,rerun-0.2.1
ASW_batch,0.7574897515610418,sciCAN,D28,diagonal,rerun-0.2.1
GC,0.6269809316883379,sciCAN,D28,diagonal,rerun-0.2.1
iLISI,0.6329562934446926,sciCAN,D28,diagonal,rerun-0.2.1
ARI,0.5993905348379265,uniPort,D28,diagonal,rerun-0.2.1
NMI,0.6197648642714019,uniPort,D28,diagonal,rerun-0.2.1
ASW,0.5320415650677635,uniPort,D28,diagonal,rerun-0.2.1
iASW,0.5220981089881316,uniPort,D28,diagonal,rerun-0.2.1
iF1,0.4928521018853954,uniPort,D28,diagonal,rerun-0.2.1
cLISI,0.9765528219662888,uniPort,D28,diagonal,rerun-0.2.1
ASW_batch,0.8346013504109391,uniPort,D28,diagonal,rerun-0.2.1
GC,0.8678438987215035,uniPort,D28,diagonal,rerun-0.2.1
iLISI,0.5750393692706184,uniPort,D28,diagonal,rerun-0.2.1
ARI,0.2368222922397392,MultiMAP,D28,diagonal,rerun-0.2.1
NMI,0.4966068087389556,MultiMAP,D28,diagonal,rerun-0.2.1
ASW,0.5529045534180554,MultiMAP,D28,diagonal,rerun-0.2.1
iASW,0.4769264338470736,MultiMAP,D28,diagonal,rerun-0.2.1
iF1,0.4895590918037962,MultiMAP,D28,diagonal,rerun-0.2.1
cLISI,0.979375465624607,MultiMAP,D28,diagonal,rerun-0.2.1
ASW_batch,0.6176457122154557,MultiMAP,D28,diagonal,rerun-0.2.1
GC,0.670070571677796,MultiMAP,D28,diagonal,rerun-0.2.1
iLISI,0.668430952763448,MultiMAP,D28,diagonal,rerun-0.2.1
ARI,0.6055066251538155,Seurat_v3,D28,diagonal,rerun-0.2.1
NMI,0.6338733734429591,Seurat_v3,D28,diagonal,rerun-0.2.1
ASW,0.4723897692446118,Seurat_v3,D28,diagonal,rerun-0.2.1
iASW,0.509286289745129,Seurat_v3,D28,diagonal,rerun-0.2.1
iF1,0.5712204575315878,Seurat_v3,D28,diagonal,rerun-0.2.1
cLISI,0.9716138182122172,Seurat_v3,D28,diagonal,rerun-0.2.1
ASW_batch,0.7799538190080357,Seurat_v3,D28,diagonal,rerun-0.2.1
GC,0.8141927439467408,Seurat_v3,D28,diagonal,rerun-0.2.1
iLISI,0.5530846774726372,Seurat_v3,D28,diagonal,rerun-0.2.1
ARI,0.7004843074208388,scBridge,D28,diagonal,rerun-0.2.1
NMI,0.7447564010862942,scBridge,D28,diagonal,rerun-0.2.1
ASW,0.6535979653341758,scBridge,D28,diagonal,rerun-0.2.1
iASW,0.6535691406548912,scBridge,D28,diagonal,rerun-0.2.1
iF1,0.7399534279585216,scBridge,D28,diagonal,rerun-0.2.1
cLISI,0.993612013956938,scBridge,D28,diagonal,rerun-0.2.1
ASW_batch,0.5860633029059155,scBridge,D28,diagonal,rerun-0.2.1
GC,0.7865765600293386,scBridge,D28,diagonal,rerun-0.2.1
iLISI,0.7875936338812459,scBridge,D28,diagonal,rerun-0.2.1
