metric,value,method,dataset,category
ARI,0.2682284881743443,online_iNMF,D28s,diagonal
NMI,0.3934457994678473,online_iNMF,D28s,diagonal
ASW,0.4451507395130806,online_iNMF,D28s,diagonal
iASW,0.4441578960063806,online_iNMF,D28s,diagonal
iF1,0.3183024352304734,online_iNMF,D28s,diagonal
cLISI,0.9311452796731252,online_iNMF,D28s,diagonal
ASW_batch,0.7850638221064951,online_iNMF,D28s,diagonal
GC,0.6410819969634037,online_iNMF,D28s,diagonal
iLISI,0.7066239864336556,online_iNMF,D28s,diagonal
ARI,0.7048876717201376,scBridge,D28s,diagonal
NMI,0.7426331464920765,scBridge,D28s,diagonal
ASW,0.6472207789407693,scBridge,D28s,diagonal
iASW,0.6505535560288505,scBridge,D28s,diagonal
iF1,0.7321720332742405,scBridge,D28s,diagonal
cLISI,0.9930411079576726,scBridge,D28s,diagonal
ASW_batch,0.6148326648119714,scBridge,D28s,diagonal
GC,0.7943926792248849,scBridge,D28s,diagonal
iLISI,0.7821341229107497,scBridge,D28s,diagonal
ARI,0.5755785305182815,scJoint,D28s,diagonal
NMI,0.6039988140008282,scJoint,D28s,diagonal
ASW,0.5321009915472026,scJoint,D28s,diagonal
iASW,0.5189557036387101,scJoint,D28s,diagonal
iF1,0.538649388675437,scJoint,D28s,diagonal
cLISI,0.9905153634648572,scJoint,D28s,diagonal
ASW_batch,0.7206763215307975,scJoint,D28s,diagonal
GC,0.8401214201014774,scJoint,D28s,diagonal
iLISI,0.5144916953060845,scJoint,D28s,diagonal
ARI,0.1995988819015253,sciCAN,D28s,diagonal
NMI,0.3333171813149543,sciCAN,D28s,diagonal
ASW,0.4833078961070957,sciCAN,D28s,diagonal
iASW,0.4639938887632628,sciCAN,D28s,diagonal
iF1,0.356017251055802,sciCAN,D28s,diagonal
cLISI,0.939338196843556,sciCAN,D28s,diagonal
ASW_batch,0.7961667471869194,sciCAN,D28s,diagonal
GC,0.5667277153723398,sciCAN,D28s,diagonal
iLISI,0.6774748599125735,sciCAN,D28s,diagonal
ARI,0.5930122014250829,uniPort,D28s,diagonal
NMI,0.5975815291988268,uniPort,D28s,diagonal
ASW,0.5322629047816376,uniPort,D28s,diagonal
iASW,0.5114159894079567,uniPort,D28s,diagonal
iF1,0.4984263658602564,uniPort,D28s,diagonal
cLISI,0.9703112106011812,uniPort,D28s,diagonal
ASW_batch,0.8334604190421143,uniPort,D28s,diagonal
GC,0.8708648425813883,uniPort,D28s,diagonal
iLISI,0.7572341540835572,uniPort,D28s,diagonal
